,2007_Port,2008_Port,2009_Port,2010_Port,2011_Port,2012_Port,2013_Port,2014_Port,2015_Port,2016_Port,2017_Port
start,1/2/2007 0:00,1/1/2008 0:00,1/1/2009 0:00,1/3/2010 0:00,1/2/2011 0:00,1/2/2012 0:00,1/1/2013 0:00,1/1/2014 0:00,1/1/2015 0:00,1/3/2016 0:00,1/2/2017 0:00
end,12/31/2007 0:00,12/31/2008 0:00,12/31/2009 0:00,12/31/2010 0:00,12/30/2011 0:00,12/31/2012 0:00,12/31/2013 0:00,12/31/2014 0:00,12/31/2015 0:00,12/30/2016 0:00,12/29/2017 0:00
rf,0,0,0,0,0,0,0,0,0,0,0
total_return,-12%,-3%,16%,17%,11%,17%,38%,30%,15%,-36%,8%
cagr,-0.11852327,-0.025116847,0.165154757,0.173927264,0.106687423,0.175228215,0.380713969,0.304811174,0.146637585,-0.360796752,0.080827108
max_drawdown,-0.202014124,-0.363349631,-0.403392985,-0.15625824,-0.178010086,-0.073788175,-0.128641959,-0.220965831,-0.339359712,-0.404575285,-0.190781229
calmar,-0.586707839,-0.069125836,0.409414053,1.11307579,0.599333589,2.374746562,2.959485171,1.379449358,0.432100747,-0.891791382,0.42366384
mtd,-0.086176194,0.141938921,0.080293832,0.071386737,0.066773335,-0.034966021,-0.010995384,0.018213058,0.022123149,-0.038766647,0.093727291
three_month,-0.09144819,-0.0529782,0.125577661,0.091705944,0.148612565,0.005303416,0.142187407,0.122529397,0.277808037,-0.094241649,0.067979059
six_month,-0.025750449,-0.136456597,0.389455572,0.176713255,0.026949973,0.07539711,0.239298876,0.31393534,-0.065417763,0.003100613,-0.091999946
ytd,-0.117837968,-0.025099873,0.164545407,0.172253453,0.105689638,0.174578993,0.379190445,0.303623638,0.146100754,-0.358246272,0.079850033
incep,-0.11852327,-0.025116847,0.165154757,0.173927264,0.106687423,0.175228215,0.380713969,0.304811174,0.146637585,-0.360796752,0.080827108
daily_sharpe,-0.564976009,0.125998893,0.629358043,0.917444767,0.557580385,1.134573083,1.704473712,1.076715378,0.580098796,-1.147496467,0.428313425
daily_sortino,-0.872758735,0.201677796,0.954377541,1.620245233,0.908551609,1.974559173,3.079936972,1.992659502,1.029337973,-1.817583428,0.84566532
daily_mean,-0.107673684,0.048308512,0.206560722,0.177654985,0.125943646,0.17396041,0.341681882,0.305137909,0.189129867,-0.386489307,0.109047825
daily_vol,0.190580984,0.383404256,0.3282086,0.193641068,0.225875316,0.153326756,0.200461808,0.283397001,0.326030441,0.33681089,0.254598194
daily_skew,-0.500816012,-0.252088874,-0.66132,-0.079342858,-0.207269105,-0.136064044,0.071973557,0.250268771,0.317708611,-0.027194751,1.136695609
daily_kurt,2.083532498,3.883816146,5.851180991,0.498593148,1.014679778,0.33071059,1.575810541,0.605393069,2.891641308,2.816090361,5.190721009
best_day,0.031080636,0.104129522,0.090204617,0.035799659,0.042191096,0.026191156,0.042850903,0.058006809,0.094076694,0.089727488,0.096630074
worst_day,-0.056537502,-0.120274173,-0.106202674,-0.038791953,-0.047461119,-0.034937914,-0.045574575,-0.055230262,-0.080157318,-0.096063418,-0.040966299
monthly_sharpe,-0.791913464,0.034364282,1.476290687,1.046298022,0.70429319,1.715645485,2.668732595,1.393762303,0.697091432,-1.193880946,0.620371197
monthly_sortino,-1.380742501,0.057380586,3.272955055,1.962175033,1.18253116,4.176392769,8.955359617,3.070567503,1.321576409,-1.857801227,1.391756214
monthly_mean,-0.155257052,0.009117815,0.391368448,0.226198172,0.10855057,0.165087253,0.439211453,0.265916247,0.226227877,-0.334500805,0.144281826
monthly_vol,0.196053052,0.265328255,0.265102565,0.216189047,0.154126962,0.096224572,0.164576793,0.190790242,0.32453114,0.280179365,0.23257338
monthly_skew,0.587361277,0.095787051,-0.348235578,-0.493618145,-0.797948364,-0.060260009,-0.142443762,-0.285329856,-0.333861433,0.37331065,0.392112803
monthly_kurt,-0.59201384,-0.063954808,-0.704511205,0.765437477,1.100058239,0.046921053,-0.845124477,-0.519817765,-0.754075217,-1.006389571,-0.77684841
best_month,0.083390809,0.141938921,0.142577422,0.111551869,0.066773335,0.063630566,0.108646532,0.101200379,0.15135534,0.112628214,0.130641993
worst_month,-0.086176194,-0.115061016,-0.099511681,-0.111432634,-0.088008306,-0.034966021,-0.046763855,-0.07801546,-0.145739514,-0.121971478,-0.076381631
avg_drawdown,-0.068727337,-0.064846782,-0.063889723,-0.032679168,-0.026590192,-0.025746916,-0.02393332,-0.039301782,-0.071860311,-0.206433415,-0.057166934
avg_drawdown_days,114.6666667,27.75,32.8,27.66666667,25.61538462,21.46666667,14.04761905,18,32.9,179.5,30.45454545
avg_up_month,0.047406145,0.045016533,0.078810838,0.052579945,0.039683336,0.026278422,0.051152193,0.054653911,0.078061088,0.060435832,0.059979058
avg_down_month,-0.047420506,-0.076689434,-0.048230364,-0.040177823,-0.027719066,-0.019632466,-0.028879619,-0.034705204,-0.084763016,-0.078338438,-0.045523201
Turnover,0.100013511,0.100018056,0.100033827,0.10001603,0.100030821,0.10003695,0.100011388,0.100048098,0.100060829,0.100155191,0.100087647
