,2007_Port,2008_Port,2009_Port,2010_Port,2011_Port,2012_Port,2013_Port,2014_Port,2015_Port,2016_Port,2017_Port
start,2007-01-02 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-03 00:00:00,2011-01-02 00:00:00,2012-01-02 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-03 00:00:00,2017-01-02 00:00:00
end,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,-0.08603325590228905,-0.03164220985221777,0.14752982748794463,0.1650212989978792,0.09180679696655147,0.18939512321758345,0.37197335734367587,0.29992407885742267,0.13959293009948603,-0.37711603227615353,0.06266473140716466
cagr,-0.08654275091028574,-0.03166353580217074,0.14807224094335614,0.1666199639427095,0.09266809642415463,0.19010376312491073,0.3734641623453965,0.30109554631694246,0.1401044180806743,-0.3797577296456772,0.06342539317265983
max_drawdown,-0.19069856697700094,-0.3625133874150863,-0.40332459045791613,-0.15981782777295395,-0.18689037716111923,-0.07480557673443755,-0.13319324164958424,-0.22040149143952747,-0.3263577739416539,-0.4198753984057676,-0.21044097017605512
calmar,-0.4538196184805267,-0.08734445927072826,0.3671292166322955,1.0425618109352546,0.49584198946885827,2.5413046917582873,2.803927269282452,1.3661229983080916,0.42929701471037157,-0.9044533951919692,0.30139279969864274
mtd,-0.0673070002709506,0.14326494879109308,0.07218829157971451,0.07211627438054813,0.06695677401480116,-0.034306657196183754,-0.011785895633785293,0.012211285702853347,0.0159646808225542,-0.04189509838842387,0.09933893550009798
three_month,-0.06696969164360012,-0.04563027828897259,0.12649522005086444,0.0918663162085136,0.14809288966177747,0.013357305476951353,0.14070807686141595,0.12096693709403716,0.2538566079298106,-0.09942535046310286,0.046512427306572235
six_month,0.004522158621535155,-0.13805860119806102,0.3795355032426151,0.17605888526049762,0.01566270960315852,0.0920555199479709,0.23722750172035556,0.32256505927000667,-0.06271413426730121,0.006784224540779871,-0.11060887161140387
