,gvkey,datadate,tic,atq,epsfxq,ltq,niq,revtq,xrdq,prccq,sic
34111,1602,19820630,AMGN,,-0.54,,-1.667,0.011,,,2836
34112,1602,19820930,AMGN,,-0.51,,-1.544,0.009,,,2836
34113,1602,19821231,AMGN,,-0.62,,-1.804,0,,,2836
34114,1602,19830331,AMGN,11.542,-0.63,1.433,-2.064,0.11,,,2836
34115,1602,19830630,AMGN,48.78,-0.49,1.056,-1.865,0.325,,13,2836
34116,1602,19830930,AMGN,47.793,-0.06,0.711,-0.644,0.829,,8.5,2836
34117,1602,19831231,AMGN,55.438,-0.07,8.753,-0.97,0.903,,7.25,2836
34118,1602,19840331,AMGN,55.342,-0.13,10.047,-1.462,0.726,,6,2836
34119,1602,19840630,AMGN,52.464,-0.19,9.225,-2.066,0.951,,5.75,2836
34120,1602,19840930,AMGN,50.515,-0.19,9.281,-2.044,1.76,,5,2836
34121,1602,19841231,AMGN,48.905,-0.18,9.522,-1.935,1.635,,5,2836
34122,1602,19850331,AMGN,47.852,-0.16,10.147,-1.718,2.737,,5.5,2836
34123,1602,19850630,AMGN,45.608,-0.19,9.924,-2.035,2.685,,8,2836
34124,1602,19850930,AMGN,48.489,0.2,10.474,2.293,7.031,,8,2836
34125,1602,19851231,AMGN,49.183,0.01,10.959,0.085,5.107,,13.5,2836
34126,1602,19860331,AMGN,93.675,0.02,13.095,0.205,6.273,,18.5,2836
34127,1602,19860630,AMGN,93.602,0.03,12.137,0.474,6.468,,24.875,2836
34128,1602,19860930,AMGN,93.826,0.02,10.889,0.295,6.09,,17.625,2836
34129,1602,19861231,AMGN,95.135,-0.01,11.819,0.136,7.771,,22.125,2836
34130,1602,19870331,AMGN,96.809,0.01,12.85,0.232,9.512,,38.5,2836
34131,1602,19870630,AMGN,172.875,0.03,12.826,0.494,10.58,,38.25,2836
34132,1602,19870930,AMGN,184.953,0.02,23.712,0.393,10.296,,32.75,2836
34133,1602,19871231,AMGN,190.255,0.02,28.01,0.351,11.213,,31,2836
34134,1602,19880331,AMGN,192.835,0.03,29.291,0.487,12.191,,32.25,2836
34135,1602,19880630,AMGN,204.357,0.02,39.089,0.305,17.254,,27,2836
34136,1602,19880930,AMGN,191.473,0.02,24.456,0.32,19.366,,32.75,2836
34137,1602,19881231,AMGN,192.134,0.01,23.476,0.177,19.414,,33.75,2836
34138,1602,19890331,AMGN,207.085,-0.54,45.177,-8.963,14.165,,41,2836
34139,1602,19890630,AMGN,260.636,,96.349,0.835,28.49,12.107,43.25,2836
34140,1602,19890930,AMGN,256.125,,86.606,3.912,39.577,12.143,42,2836
34141,1602,19891231,AMGN,280.577,,101.025,7.975,65.344,24.002,49,2836
34142,1602,19900331,AMGN,308.052,1.07,119.948,6.397,56.972,14.274,61.75,2836
34143,1602,19900630,AMGN,346.952,0.56,133.112,11.146,71.65,15.663,77.75,2836
34144,1602,19900930,AMGN,396.736,0.33,93.536,14.314,78.844,19.187,44.75,2836
34145,1602,19901231,AMGN,443.855,-0.71,146.302,-27.992,91.214,23.316,62.25,2836
34146,1602,19910331,AMGN,514.026,0.77,116.011,36.871,139.537,26.625,131.2499,2836
34147,1602,19910331,AMGN,514.026,0.77,116.011,36.871,139.537,26.625,131.2499,2836
