,datadate,gvkey1,real roe,prccq,real rd,roe,rd/rev,p/e,epsfxq
0,2006,ALXN,-0.3148134780272224,39.76871229741534,92.25531914893618,-0.6261587843236843,90.94777473417786,-33.890407412474424,-1.173247703627762
1,2007,ALXN,-0.12143054078537946,73.83893287122974,0.46203148536491717,-0.13167588220663698,0.5107773135172706,-215.87459085892306,-0.35419532477036286
2,2008,ALXN,0.06208881745418036,36.82125389328713,0.19735397098153723,0.06619739061617257,0.19801635473662568,217.34060923935633,0.174105580467523
3,2009,ALXN,0.34448308723974225,48.354166125389334,0.2098075897658361,0.3161112557268154,0.20954139750837097,32.968124735566064,2.3589714105580466
4,2010,ALXN,0.030765258172276135,78.80187841661254,0.1742394614521558,0.031083144634136552,0.17469257028777976,280.35438827210083,0.28160289714105585
5,2011,ALXN,0.042459532548488665,70.63536218784166,0.1511607978590168,0.04416122326030674,0.15408548905354486,277.0537799766423,0.2575001602897141
6,2012,ALXN,0.04108430372681838,95.6463375362188,0.19782794531488865,0.04163117994903056,0.2048371749033526,238.65367929104113,0.403252750016029
7,2013,ALXN,-0.00797286739860433,130.9726506337536,0.19412367704663178,-0.0031613077054632437,0.19642399947753655,-1171.756971840166,-0.04297067472499835
8,2014,ALXN,0.04643584620071725,183.00706426506338,0.2153714243772895,0.04748692232016495,0.21210249713826365,237.82375139005174,0.7713767029325276
9,2015,ALXN,0.00806478954827298,187.55130070642653,0.2725695460051622,0.005461618086456373,0.269893838036827,576.936630955668,0.19605213767029317
10,2016,ALXN,0.010632160110420981,122.33849313007066,0.24762500902809542,0.010709953649186258,0.2472980662825891,297.1777576825552,0.41195860521376704
11,2017,ALXN,0.003407135869381881,121.47347984931302,0.29161630590045046,0.004036977365165045,0.2854064270942198,865.6805875309993,0.1557861958605214
12,2018,ALXN,-0.004909822919053387,101.36471134798494,0.518160878809355,-0.0016156082182601538,0.49028514946602914,-429.9772914222311,-0.06513542138041387
13,1982,AMGN,,,,,,,
14,1983,AMGN,-0.020777551676127236,,,,,,
15,1984,AMGN,-0.04913287459055938,,,,,,
16,1985,AMGN,0.0022237337798241942,,,,,,
17,1986,AMGN,0.0016323395266215374,,,,,,
18,1987,AMGN,0.0021633948657893923,,,,,,
19,1988,AMGN,0.0010494610395000534,,,,,,
20,1989,AMGN,0.044416102299055425,,0.3673175808031342,,,,
21,1990,AMGN,-0.09407399690139236,,0.25561865503102593,,,,
22,1991,AMGN,0.11289007709759105,,0.16178963205606764,,,,
23,1992,AMGN,0.14329058016647175,69.82155896178563,0.1730696217935197,0.14023743533980337,,,0.8778352189862679
24,1993,AMGN,0.0777281957645774,48.39570715589618,0.19570491238338528,0.07936493736984013,,74.97661131621675,0.6476827835218987
25,1994,AMGN,0.0037549732796572266,58.31763957071559,0.19887957079568086,0.011987077518776795,,1776.405305310799,0.10838876827835225
26,1995,AMGN,0.08709175738724727,58.71665226395708,0.24148003894839337,0.08767501455535226,,114.57497041094479,0.5144328388768279
27,1996,AMGN,0.0862528468285119,55.162934165226396,0.24212299915754,0.08698468791888089,,86.21520290145287,0.6398704432838878
28,1997,AMGN,0.0839994390688543,53.60575879341653,0.2721279050601615,0.07982805968120853,,87.43496683388966,0.6380289870443284
29,1998,AMGN,0.09312309733822496,101.55539807587934,0.2548344370860927,0.09326619730460707,0.2530084678611928,113.55946357383156,0.8927828028987045
30,1999,AMGN,0.09313709277327602,62.0166680398076,0.2614089977343835,0.09379197824232834,0.2587259154721615,222.26046864344292,0.28940327828028994
31,2000,AMGN,0.048858500405609,64.52196816680399,0.2938826991801556,0.053009959230123804,0.285958419136569,324.4070811391405,0.20347394032782806
32,2001,AMGN,0.031242812236448664,56.69204094681668,0.2068842835542115,0.034572651755100325,0.2077959863955656,358.3173005295425,0.16497234739403283
33,2002,AMGN,0.024958985015859126,47.69530120409468,0.20780250268954195,0.010034173897790613,0.3872642473764261,127.36725713916397,0.12072449723473924
34,2003,AMGN,0.0281601518378883,62.067824530120404,0.21436487638533674,0.028490721563424366,0.2114949219719754,149.73158683892365,0.41479507244972347
35,2004,AMGN,0.03496574473483887,63.39757178245303,0.2121003781368168,0.0329215532048069,0.2277364925296251,138.31621123255147,0.498839479507245
36,2005,AMGN,0.04029142829201506,78.74716875717826,0.2020788749617854,0.04101806594700832,0.1997057706383496,117.6040510827319,0.6713328839479508
37,2006,AMGN,0.043925332208394854,68.57711971687573,0.3079530638852673,0.04519293569940238,0.30380580668574736,152.237365832431,0.7244951332883948
38,2007,AMGN,0.04672897196261682,47.44205971197169,0.21949265687583444,0.043738273803728175,0.23379984352048155,83.9013627063481,0.7092184495133289
39,2008,AMGN,0.045374276464240165,57.776086205971204,0.21274326846174355,0.046420295105680305,0.21053118855062528,65.37257057815718,0.8860399218449514
40,2009,AMGN,0.04107292539815591,56.8605056086206,0.23391966395379366,0.04300806704099505,0.22767618926859953,59.75920902291199,0.9626206039921846
41,2010,AMGN,0.042682926829268296,54.90283980056087,0.2223379328299922,0.043554176800735235,0.21884331717850128,50.05525656708873,1.0996082620603995
42,2011,AMGN,0.04908297861159283,63.31414528398005,0.21419582179713062,0.04636547625971504,0.21220431358975284,63.866346358990036,1.0294399608262061
43,2012,AMGN,0.041343126967471146,85.88979441452841,0.2121691924903868,0.04286817350706752,0.21113519511264636,82.64738512539171,1.0518249439960827
44,2013,AMGN,0.046207458363504705,113.73403797944145,0.24925164637796848,0.04787340750658627,0.24514090473341188,83.41999057691166,1.3747471824943998
45,2014,AMGN,0.05019784312204205,157.19010940379795,0.23147627086850497,0.05021727524863003,0.2285374208942452,93.80337673809542,1.6763874747182494
46,2015,AMGN,0.06409571626962932,160.0870640109404,0.19743497109826588,0.06428285155364499,0.19708724902407976,67.466475673177,2.374016638747472
