gvkey2,APLP,BAS,BJS.1,BRNC,CDVIQ,CLB,CPX,DO,GEOKQ,GLBL.1,GRHHQ,HAWKQ,HEROQ,HLX,IO,NES,OMNI,PDE,PTEN,RIG,SPN,SWSI.2,TGE.3,TTI,UDRL,VTGDF,WEL
ALY,0.0052,0.0641,0.06,0.0534,,,0.0754,,,,,,,,,,0.0264,0.0115,0.0613,,0.0015,0.0707,,0.1156,0.038,,0.0255
APLP,,0.1063,0.0341,0.0373,0.0294,,0.11599999999999999,,,,,0.0071,0.0129,0.0325,,,0.0197,,0.0984,,0.0477,0.1288,,0.0475,0.0412,,0.0061
ATW,,0.005,,0.048,0.0661,0.0117,0.0347,0.0811,0.0174,0.0465,,0.1343,0.2318,0.0831,,,,0.16399999999999998,0.0566,0.0593,0.0766,0.0067,,,0.0122,0.1322,0.028999999999999998
BAS,0.1063,,0.091,0.1744,0.0753,0.0696,0.27699999999999997,,,0.0332,0.0007,0.0102,0.0415,0.061,0.019,,0.0888,0.006,0.1839,,0.0763,0.2937,,0.0691,0.1003,,0.0721
BHI,0.0237,0.0734,0.1733,0.0344,,0.0654,0.0981,,,0.0008,,,,0.0101,0.0259,,0.0082,,0.0255,,0.0298,0.067,,0.0737,0.0168,,0.0068
BJS.1,0.0341,0.091,,0.0919,0.0333,0.0737,0.1354,,,0.0368,,,,0.0162,0.0278,,0.0567,0.0011,0.0691,,0.0096,0.1715,,0.1099,0.0528,,0.0161
BRNC,0.0373,0.1744,0.0919,,0.03,0.0223,0.1239,,,0.0298,,0.0157,0.0475,0.0388,,,0.0624,0.0242,0.1543,,0.0675,0.0892,,0.0499,0.1429,0.0136,0.0318
CDVIQ,0.0294,0.0753,0.0333,0.03,,0.0007,0.0707,0.0048,0.0023,0.1677,,0.0448,0.0647,0.2486,0.0019,,0.0574,0.0466,0.0182,0.0064,0.0879,0.0168,,0.0255,0.0019,0.025,0.0849
CLB,,0.0696,0.0737,0.0223,0.0007,,0.1032,,,,,,,0.0197,0.0239,,,,0.0291,,,0.1224,,0.0028,0.040999999999999995,,0.0589
CPX,0.11599999999999999,0.27699999999999997,0.1354,0.1239,0.0707,0.1032,,,0.0052,,,,0.0357,0.0541,0.0299,,0.1121,,0.1589,,0.0856,0.2897,,0.0794,0.1161,,0.0792
DO,,,,,0.0048,,,,0.0247,0.0248,,0.1388,0.0834,0.0126,,,,0.0895,,0.0949,,,,,,0.0836,
DWSN,,,,,,,,,0.016,,,,,,0.0397,,0.0202,,0.0116,,,,0.8692,,,,
GEOKQ,,,,,0.0023,,0.0052,0.0247,,,,,,,0.0602,,0.0518,0.0333,,0.0132,,,0.016,,,0.0003,0.0059
GLBL.1,,0.0332,0.0368,0.0298,0.1677,,,0.0248,,,,0.0553,0.0963,0.1123,,,0.0204,0.0669,0.0125,0.0493,0.0717,,,0.0535,,0.0247,0.0223
GRHHQ,,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,
HAL,,,,,,,,,,,,,,,,,,,,,,,,0.0053,,,
HAWKQ,0.0071,0.0102,,0.0157,0.0448,,,0.1388,,0.0553,,,0.2641,0.0503,,,0.0367,0.419,0.0611,0.0692,0.016,0.0009,,0.0053,0.0813,0.2269,
HEROQ,0.0129,0.0415,,0.0475,0.0647,,0.0357,0.0834,,0.0963,,0.2641,,0.0877,,,0.0135,0.1897,0.0566,0.0358,0.0666,0.0253,,0.0209,0.0344,0.1346,0.0158
HLX,0.0325,0.061,0.0162,0.0388,0.2486,0.0197,0.0541,0.0126,,0.1123,,0.0503,0.0877,,0.0113,,0.01,0.0923,0.0181,0.0088,0.0543,0.0089,,0.06,,0.0296,0.0368
HP,,0.0412,0.0239,0.0944,,,0.0327,,0.0503,0.004,,0.0314,0.0306,,,,,0.0749,0.1178,0.0071,0.0147,0.0205,,0.0084,0.0857,0.0648,
IO,,0.019,0.0278,,0.0019,0.0239,0.0299,,0.0602,,,,,0.0113,,,0.0348,,0.0021,0.0084,,,0.0397,,,,
KEG,0.0925,0.2206,0.1387,0.1311,0.0536,0.0592,0.1734,,,0.0631,,0.013000000000000001,0.04,0.0408,,,0.0555,,0.1324,,0.0828,0.2135,,0.0677,0.0702,,0.0544
NBR,0.001,0.0879,0.0696,0.1081,0.0133,,0.0998,0.0746,0.0085,0.0474,,0.0983,0.0865,0.0249,0.0099,,0.0237,0.0654,0.1439,0.0271,0.0352,0.0334,,0.0562,0.0862,0.0411,0.0058
NE,0.1131,0.1024,,0.0292,0.0348,0.0192,0.0699,0.0267,,0.0359,,0.0644,0.0877,0.0474,,,,0.0771,0.0491,0.0401,0.0568,0.0957,,0.0064,0.0311,0.0752,0.0127
NES,,,,,,,,,,,,,,,,,0.0077,,,,,,,,,,
OII,,,0.0002,,0.0364,,0.0135,0.0291,,0.0722,,0.0299,0.0387,0.0596,,,0.0504,0.0392,0.0397,0.0176,0.0414,,,0.0228,,0.0189,0.0217
OMNI,0.0197,0.0888,0.0567,0.0624,0.0574,,0.1121,,0.0518,0.0204,,0.0367,0.0135,0.01,0.0348,0.0077,,0.0191,0.0738,,0.0705,0.0819,0.0202,0.057,0.1063,,0.0265
PDE,,0.006,0.0011,0.0242,0.0466,,,0.0895,0.0333,0.0669,,0.419,0.1897,0.0923,,,0.0191,,0.0423,0.0924,0.0128,,,0.0066,0.0307,0.2627,0.0293
PESX,0.0663,0.2452,0.1078,0.4065,0.0377,0.0312,0.2374,,0.0243,0.0428,0.0063,0.049,0.0426,0.0643,0.0069,,0.1139,0.0507,0.1569,,0.0665,0.1617,,0.0697,0.1626,,0.0509
PKD,0.0764,0.126,,0.0397,0.0791,0.0028,0.1016,,0.0131,0.0138,,0.0611,0.1009,0.0832,0.0299,,0.0305,0.0856,0.0744,0.0443,0.1041,0.0777,,0.0098,0.0353,,0.0694
PTEN,0.0984,0.1839,0.0691,0.1543,0.0182,0.0291,0.1589,,,0.0125,,0.0611,0.0566,0.0181,0.0021,,0.0738,0.0423,,,0.1061,0.1884,0.0116,0.0382,0.1674,0.0299,0.0632
RDC,,0.0616,0.0354,0.062,0.0131,0.0173,0.0292,0.0492,,0.0269,,0.0917,0.0746,0.0127,,,0.0516,0.0911,0.0668,0.0269,0.0291,0.0251,,0.0439,0.0516,0.0522,
RES,,0.0888,0.1694,0.0504,,0.0236,0.0761,,0.0256,0.0122,,,0.0098,,0.0103,,0.0566,0.0137,0.0567,,0.0297,0.0998,,0.0488,0.0351,,0.0966
RIG,,,,,0.0064,,,0.0949,0.0132,0.0493,,0.0692,0.0358,0.0088,0.0084,,,0.0924,,,,,,,,0.135,
SLB,,,0.0209,,,0.0525,0.0112,,0.0222,,,,,,0.0636,,,,,,,,0.0018,0.0072,,,
SPN,0.0477,0.0763,0.0096,0.0675,0.0879,,0.0856,,,0.0717,,0.016,0.0666,0.0543,,,0.0705,0.0128,0.1061,,,0.0768,,0.08900000000000001,0.0204,,0.1274
SWSI.2,0.1288,0.2937,0.1715,0.0892,0.0168,0.1224,0.2897,,,,,0.0009,0.0253,0.0089,,,0.0819,,0.1884,,0.0768,,,0.0962,0.1224,,0.0756
TGE.3,,,,,,,,,0.016,,,,,,0.0397,,0.0202,,0.0116,,,,,,,,
TTI,0.0475,0.0691,0.1099,0.0499,0.0255,0.0028,0.0794,,,0.0535,,0.0053,0.0209,0.06,,,0.057,0.0066,0.0382,,0.08900000000000001,0.0962,,,0.0319,,0.0095
UDRL,0.0412,0.1003,0.0528,0.1429,0.0019,0.040999999999999995,0.1161,,,,,0.0813,0.0344,,,,0.1063,0.0307,0.1674,,0.0204,0.1224,,0.0319,,0.0026,0.046
VAL,,,,,,,,0.0023,,,,0.0102,0.0299,0.0227,,,,0.0404,0.0466,,0.0328,,,,,0.0434,
VTGDF,,,,0.0136,0.025,,,0.0836,0.0003,0.0247,,0.2269,0.1346,0.0296,,,,0.2627,0.0299,0.135,,,,,0.0026,,
WEL,0.0061,0.0721,0.0161,0.0318,0.0849,0.0589,0.0792,,0.0059,0.0223,,,0.0158,0.0368,,,0.0265,0.0293,0.0632,,0.1274,0.0756,,0.0095,0.046,,
WFTIF,0.0137,0.0698,0.1552,0.0784,0.0003,0.067,0.1189,,,0.0122,,,,0.0226,0.0754,,0.0294,,0.0382,,0.0002,0.0928,,0.0606,0.034,,0.0187
