gvkey2,GEN.3,ITC1,NRG,ORA,POR,RRI.3
AEP,0.0877,0.0696,0.1367,0.0767,0.1439,0.0877
AES5,0.0623,0.0317,0.0863,0.0537,0.0811,0.0623
AYE,0.0644,0.033,0.1298,0.0724,0.10300000000000001,0.0644
BKH,0.0316,,0.0269,0.0154,0.0638,0.0316
CNL,0.0858,,0.1278,0.0346,0.1476,0.0858
CV,,0.0195,0.0621,0.0113,0.0872,
D,0.0727,0.0552,0.1324,0.0768,0.1155,0.0727
DUK8,0.0575,0.0433,0.1236,0.0513,0.1276,0.0575
EDE,0.0222,0.0129,0.0434,0.0275,0.0839,0.0222
EE,0.0517,0.0455,0.1078,0.0663,0.1447,0.0517
EIX,0.0786,0.0425,0.1501,0.1017,0.1139,0.0786
ETR,0.0393,0.0363,0.1773,0.1069,0.1154,0.0393
EXC,0.0884,0.0656,0.142,0.0568,0.0895,0.0884
FE,0.0722,0.0508,0.1342,0.0671,0.1278,0.0722
GEN.3,,0.016,0.1002,,0.0253,0.8419
GXP,0.0039,0.0161,0.0203,,0.0771,0.0039
HE,,0.006999999999999999,0.0708,0.0801,0.0773,
IDA,,0.0015,0.0679,0.0443,0.1398,
ITC1,0.016,,0.0192,0.0267,0.0629,0.016
MAM,,,,,0.0239,
NEE,0.1119,0.0523,0.1146,0.0513,0.1162,0.1119
NRG,0.1002,0.0192,,0.1074,0.0865,0.1002
NST,,0.0447,0.0017,,0.0486,
NVE,0.0719,0.0337,0.1229,0.0715,0.1467,0.0719
ORA,,0.0267,0.1074,,0.06,
OTTR,0.0254,0.0536,0.1486,0.0666,0.1349,0.0254
PNM,0.0317,,0.1049,0.0037,0.1022,0.0317
PNW,0.059000000000000004,0.006,0.092,0.063,0.1246,0.059000000000000004
POM,0.0985,0.061,0.158,0.0589,0.0988,0.0985
POR,0.0253,0.0629,0.0865,0.06,,0.0253
PPL,0.0131,0.0171,0.0877,0.0442,0.0772,0.0131
RRI.3,0.8419,0.016,0.1002,,0.0253,
SO,0.0319,0.0358,0.0923,0.0314,0.10300000000000001,0.0319
UNS,0.0765,0.04,0.0854,0.0365,0.1423,0.0765
