Month,S/L,S/M,S/H,B/L,B/M,B/H,Russell 3000,T-Bill,RMRF,ΔTerm Spread,ΔYield Spread,%Δ in Oil Price
197901,8.56,7.9,9.59,3.24,5.08,6.75,4.90,0.77,4.23,-1.31,0.88,0
197902,-3.44,-2.23,-1.91,-3.71,-2.37,-2.84,-2.77,0.73,-3.56,-1.14,0.82,6.73
197903,11.66,8.33,8.5,5.71,5.69,7.53,6.61,0.81,5.68,-1.13,0.89,0
197904,1.65,3,3.31,0.19,0.6,0.64,0.73,0.8,-0.06,-0.94,0.95,0
197905,-2.66,-0.76,-0.53,-1.83,-1.28,-1.33,-1.37,0.82,-2.21,-0.87,0.97,14.2
197906,5.72,5.96,6.11,3.1,5.53,5.67,4.69,0.81,3.85,-0.66,1.09,5.52
197907,2.02,4.07,3.04,0.61,1.74,3,1.50,0.77,0.82,-0.69,1.09,13.87
197908,9.08,7.33,7.37,6.77,5.39,5.37,6.55,0.77,5.53,-0.95,1.12,21.84
197909,0.77,-1.1,-1.03,-0.84,0.99,-0.77,0.21,0.83,-0.82,-1.51,1.1,7.55
197910,-9.23,-10.59,-11.33,-6.69,-6.11,-8.31,-7.23,0.87,-8.1,-2.14,1.27,1.75
197911,10.9,6.85,6.85,6.54,5.72,4.1,6.19,0.99,5.21,-1.74,1.23,6.9
197912,8.12,5.23,5.14,2.94,1.1,1.95,2.79,0.95,1.79,-1.59,1.32,4.84
198001,7.89,7.76,8.48,4.9,6.37,7.92,6.36,0.8,5.51,-1.26,1.33,0
198002,-0.42,-2.87,-2.72,-3.1,2.13,0.44,0.00,0.89,-1.22,-1.51,1.19,13.85
198003,-19.3,-16.07,-17.32,-8.94,-10.76,-13.05,-11.91,1.21,-12.9,-3.07,1.49,2.7
198004,6.13,6.43,5.87,3.74,5.67,6.11,5.02,1.26,3.97,-1.83,2.15,3.95
198005,8.07,7.91,8.08,5.68,5.46,6.45,6.10,0.81,5.26,0.79,2.18,0
198006,5.33,4.35,4.3,3.11,3.51,2.37,3.58,0.61,3.06,1.62,2.13,0
198007,13.32,9.58,7.22,9.33,5.21,2.83,7.04,0.53,6.49,1.6,1.58,0
198008,8.48,4.98,3.64,2.19,1.4,1.75,2.25,0.64,1.8,0.86,1.51,-3.8
198009,5.25,2.96,0.86,4.16,3.26,-1.02,2.96,0.75,2.19,-0.01,1.68,-5.26
198010,5.83,2.37,3.03,1.83,2.82,-0.84,2.26,0.95,1.06,-0.74,1.92,0
