date,T-Bill,RMRF,SMB,HML,UMD
197901,0.77,4.23,3.66,2.27,-1.24
197902,0.73,-3.56,0.45,1.20,-1.06
197903,0.81,5.68,3.19,-0.67,2.88
197904,0.80,-0.06,2.18,1.05,0.81
197905,0.82,-2.21,0.16,1.32,-0.57
197906,0.81,3.85,1.17,1.48,0.82
197907,0.77,0.82,1.26,1.70,-1.09
197908,0.77,5.53,2.08,-1.55,-0.23
197909,0.83,-0.82,-0.25,-0.87,5.34
197910,0.87,-8.10,-3.34,-1.86,2.12
197911,0.99,5.21,2.74,-3.25,7.96
197912,0.95,1.79,4.17,-1.98,4.78
198001,0.80,5.51,1.65,1.80,7.51
198002,0.89,-1.22,-1.82,0.62,7.88
198003,1.21,-12.90,-6.64,-1.06,-9.59
198004,1.26,3.97,0.97,1.06,-0.42
198005,0.81,5.26,2.16,0.39,-1.11
198006,0.61,3.06,1.67,-0.89,1.59
198007,0.53,6.49,4.25,-6.30,0.37
198008,0.64,1.80,3.92,-2.64,3.19
198009,0.75,2.19,0.89,-4.79,5.44
198010,0.95,1.06,2.47,-2.74,7.32
198011,0.96,9.59,-3.45,-8.35,15.24
198012,1.31,-4.52,-0.28,2.68,-6.65
198101,1.04,-5.04,3.00,6.84,-7.94
198102,1.07,0.57,-0.31,0.97,-1.39
198103,1.21,3.56,3.58,0.67,0.74
198104,1.08,-2.11,4.42,2.26,-0.96
198105,1.15,0.11,2.00,-0.43,3.75
198106,1.35,-2.36,-0.85,5.13,-5.90
198107,1.24,-1.54,-2.18,-0.66,-2.52
198108,1.28,-7.04,-1.95,4.84,-1.12
198109,1.24,-7.17,-2.66,5.20,1.98
198110,1.21,4.92,2.13,-4.21,4.07
198111,1.07,3.36,-0.96,1.90,-0.27
198112,0.87,-3.65,1.17,0.74,1.32
198201,0.80,-3.24,-1.29,3.17,1.73
198202,0.92,-5.86,0.49,6.10,5.00
198203,0.98,-1.87,-0.19,3.78,2.93
198204,1.13,3.27,1.51,-2.78,-0.41
198205,1.06,-3.99,0.47,1.81,2.55
198206,0.96,-3.09,-0.40,1.54,5.00
198207,1.05,-3.19,0.84,0.15,4.47
198208,0.76,11.14,-4.11,1.16,-3.52
198209,0.51,1.29,2.88,0.34,4.17
198210,0.59,11.30,2.35,-3.68,0.03
198211,0.63,4.67,4.77,-1.96,5.89
198212,0.67,0.55,-0.18,0.01,0.02
198301,0.69,3.60,2.70,-0.86,-1.70
198302,0.62,2.59,3.23,0.67,3.83
198303,0.63,2.82,1.77,2.07,0.93
198304,0.71,6.67,0.53,0.60,1.80
198305,0.69,0.52,6.16,-1.40,-1.59
198306,0.67,3.07,0.91,-3.87,1.78
198307,0.74,-4.07,1.46,5.62,-3.13
198308,0.76,-0.50,-4.30,5.55,-5.44
198309,0.76,0.91,0.56,1.09,-0.10
198310,0.76,-3.44,-3.60,5.06,-4.56
198311,0.70,2.16,2.04,-0.62,-0.09
198312,0.73,-1.78,-0.29,1.67,0.74
198401,0.76,-1.92,-0.43,7.63,-2.49
198402,0.71,-4.82,-1.71,3.36,0.19
198403,0.73,0.63,0.07,0.48,1.09
198404,0.81,-0.51,-1.20,1.29,2.05
198405,0.78,-5.97,0.03,0.26,1.52
198406,0.75,1.82,-0.32,-2.60,-0.70
198407,0.82,-2.74,-2.21,0.49,2.93
198408,0.83,10.28,-0.25,-1.85,-5.69
198409,0.86,-0.80,0.20,5.32,3.67
198410,1.00,-0.84,-1.20,0.51,3.21
198411,0.73,-1.76,-0.62,4.08,1.70
